chemical,crop,epa_registration,active_ingredients,frac_code,irac_code,phi_days,rei_hours,application_uom,maximum_quantity_per_acre,label_date,effective_date,expiration_date,dup_seq,dup_copies,is_redundant_copy,times_sprayed,last_sprayed,usage_bucket,compliance_id
Triathlon BA (2),Cuke,70051-107-59807,,,,0,4,FLOZ,6.0,2019-03-14,2019-03-14,,1,1,False,0,,never used,4bc97058-b180-4704-ad11-a699e9eb6704
Tristar 8.5,Cuke,8033-106-1001,,,,7,12,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,89bd92dd-0c79-4342-a827-414199fcaf6f
Tristar 8.5 (2),Lettuce,8033-106-1001,,,,7,12,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,e28578ec-6cdd-4473-ab09-f99f0c3ffc2c
Velum One,Cuke,264-1078,,,,0,0,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,0964e4ff-3ce6-49d8-a563-002381fd0bb6
Vivando,Cuke,7969-284,,,,0,12,FLOZ,15.4,2023-12-14,2023-12-14,,1,2,False,145,2026-07-15,used last 12mo,05498a56-5716-4193-983c-e6bfa4719b6c
Vivando,Cuke,7969-284,,,,0,12,FLOZ,15.4,2023-12-14,2023-12-14,,2,2,True,145,2026-07-15,used last 12mo,be604c8e-0446-4e6f-a5ce-2f612e7f2cb9
Widespread Max,Cuke,LEGACY_UNKNOWN,,,,0,0,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,4,2024-11-05,dormant 12mo+,5bbac8d1-fcaf-494b-8d70-eef040d1643b
Widespread Max,Lettuce,LEGACY_UNKNOWN,,,,0,12,FLOZ,0.75,2026-07-12,2026-07-12,,1,1,False,4,2024-11-05,dormant 12mo+,f3488457-f996-4477-85a4-f44579de54de
Wrangler,Cuke,34704-931,,,,21,12,OZ,0.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,00a4aba5-1457-4b14-8b50-ee95353abb24
Wrangler (2),Lettuce,34704-931,,,,21,12,OZ,1.25,2026-07-12,2026-07-12,,1,1,False,0,,never used,bd6df1cc-cd72-4423-ae25-8d9b960c5358
Zerotol 2.0,Cuke,70299-12,,,,0,1,FLOZ,128.0,2026-07-12,2026-07-12,,1,1,False,18,2024-05-29,dormant 12mo+,a2c7e8c4-58e2-4c8e-a95c-b3c97dde712c
Zerotol 2.0,Lettuce,70299-12,,,,0,1,FLOZ,320.0,2026-07-12,2026-07-12,,1,1,False,18,2024-05-29,dormant 12mo+,d4a7ac43-bc26-4ef0-bfb9-644777dcba59
